,title,company,estimated salary,salary,summary
22,newDeveloper (Specialty) II (contract),Best Buy,,,"Building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation scripts with…"
23,newSoftware Developer,Robert Half,,$55 - $65 an hour,Exposure to public facing high-traffic web sites.Experience in web front-end development including JavaScript and front-end frameworks.
24,newFull Stack .Net Developer,Insight Global,,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
25,newFront End Developer IV,pearlsoftsolutions,,,Developing front end web applications.Strong social and communication skills · Strong HTML/CSS skills · 3+ years utilizing RESTful APIs in front end web…
26,new.NET Developer - Software Engineer,TEKsystems,,,"In addition, developers will be creating new modules in .NET web applications, interfaces, data feeds, etc.In the Employee Compliance Technology space, we are…"
27,newRuby on Rails Developer,Robert Half,,$55 - $65 an hour,"5+ years of experience developing, testing, shipping, and supporting production-quality web applications Expert-level knowledge of Ruby on Rails Expert-level…"
28,newFull Stack Software Engineer (Remote or On-site),Tevera,,"$90,000 - $115,000 a year","Optional but desirable: Experience building responsive/mobile first web applications.$90,000 - $115,000 salaried exempt.In-office and/or Remote."
29,newUI/UX Developer,CyberCoders,,"$120,000 - $150,000 a year","Due to explosive growth and increased demand for our products/services, we're looking to expand our software engineering team with talented, senior-level UI/UX…"
30,newSoftware Developer (Work Remotely!),Taylor Corporation,Estimated $90.1K – $114K a year,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
31,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
32,newIT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
33,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
34,newFront End Developer,Queue-it,Estimated $77.5K – $98.1K a year,,"Enthusiasm for the web, new technology, and design trends.Using HTML5, responsive design, and mobile UX principles, you will design Queue-it customer queue…"
35,newLead Web Developer - Remote React + Lead of small dev team i...,Infraspace Technology Corp.,Estimated $136K – $173K a year,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
36,newDeveloper (Specialty) II (contract),Best Buy,Estimated $64.6K – $81.8K a year,,"Building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation scripts with…"
37,newFront End Developer IV,pearlsoftsolutions,Estimated $102K – $129K a year,,Developing front end web applications.Strong social and communication skills · Strong HTML/CSS skills · 3+ years utilizing RESTful APIs in front end web…
38,newSoftware Engineer,CyberCoders,,"$90,000 - $100,000 a year","You will work on application design, development, and testing.Interface with 3rd party data vendors to consume 3rd Party APIs."
39,newSoftware Developer,Robert Half,,$55 - $65 an hour,Exposure to public facing high-traffic web sites.Experience in web front-end development including JavaScript and front-end frameworks.
40,newFull Stack Software Engineer (Remote or On-site),Tevera,,"$90,000 - $115,000 a year","Optional but desirable: Experience building responsive/mobile first web applications.$90,000 - $115,000 salaried exempt.In-office and/or Remote."
41,newFull Stack .Net Developer,Insight Global,Estimated $96K – $122K a year,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
42,newSr. Dot Net Developer,"Dedicated Logistics, Inc",Estimated $86K – $109K a year,,"The primary objective of this position will be as a developer responsible for coding, testing and debugging programs according to specifications."
43,new.NET Developer - Software Engineer,TEKsystems,Estimated $95K – $120K a year,,"In addition, developers will be creating new modules in .NET web applications, interfaces, data feeds, etc.In the Employee Compliance Technology space, we are…"
44,newSoftware Engineer III Back End - Java Developer (remote),Ad Hoc Team,Estimated $101K – $128K a year,,"Experience developing web applications in Java, J2EE.Minimum five years of experience developing consumer-facing web applications, services, and APIs."
45,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,,This person will be leading a team of 3-4 front end developers.The Web Development Supervisor is responsible for leading a small and focused team of front-end…
46,newIT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
47,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year","Our team is looking to hire a full-time, fully remote web developer.Communicate design changes to web developers and review for proper design and layout before…"
48,newConstruction Project Engineer/Estimator,Kevitt Companies,,"$45,000 - $65,000 a year","Microsoft Office, project and pertinent web application skills at an intermediate level.Our ideal candidate is passionate about construction, detail orientated…"
49,newFront End Developer,Queue-it,Estimated $77.5K – $98.1K a year,,"Enthusiasm for the web, new technology, and design trends.Using HTML5, responsive design, and mobile UX principles, you will design Queue-it customer queue…"
50,"newREMOTE Frontend Developer - FinTech Startup, Mobile Applicat...",CyberCoders,,"$110,000 - $140,000 a year","REMOTE Frontend Developer - FinTech Startup, Mobile Application.If you are a REMOTE Frontend Developer with React and Mobile Application experience, please…"
51,newFront End Developer IV,pearlsoftsolutions,Estimated $102K – $129K a year,,Developing front end web applications.Strong social and communication skills · Strong HTML/CSS skills · 3+ years utilizing RESTful APIs in front end web…
52,newDeveloper (Specialty) II (contract),Best Buy,Estimated $64.6K – $81.8K a year,,"Building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation scripts with…"
53,newFull Stack Software Engineer (Remote or On-site),Tevera,,"$90,000 - $115,000 a year",Optional but desirable: Experience building responsive/mobile first web applications.What’s it like being on the Tevera team?In-office and/or Remote.
54,newLead Web Developer - Remote React + Lead of small dev team i...,Infraspace Technology Corp.,Estimated $136K – $173K a year,,This person will be leading a team of 3-4 front end developers.The Web Development Supervisor is responsible for leading a small and focused team of front-end…
55,newFull Stack .Net Developer,Insight Global,Estimated $96K – $122K a year,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
56,newSoftware Developer,Robert Half,,$55 - $65 an hour,Exposure to public facing high-traffic web sites.Experience in web front-end development including JavaScript and front-end frameworks.
57,"newPrincipal SIEM Engineer (Remote, USA)",Optiv,Estimated $103K – $131K a year,,"Understanding of monitoring devices such as firewalls, network and host-based intrusion detection systems, web applications, AV, WAF, Proxy and operating system…"
58,newSoftware Engineer,CyberCoders,,"$90,000 - $100,000 a year","Location: St. Paul/Minneapolis, MN area.Salary: $90-100K, Bonus, Excellent Benefits.Based in the Twin Cities area of Minnesota, we are a tech-forward fintech…"
59,newRuby on Rails Developer,Robert Half,,$55 - $65 an hour,"5+ years of experience developing, testing, shipping, and supporting production-quality web applications Expert-level knowledge of Ruby on Rails Expert-level…"
