,post date,title,company,estimated salary,salary,summary
28,Just posted,.NET Lead Developer,AR Val services,,$51 - $55 an hour,"SQL server development experience with Strong knowledge of database concepts like joins, stored.Experience with Authentication Technologies SSO, SAML, Oauth."
29,Just posted,Developer (Specialty) II,RPO International,,Up to $68 an hour,"Experience with building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation…"
30,Today,Front End Developer (Entry level),Revature,Estimated $68.7K – $86.9K a year,,College degree (Associates or Bachelors).Must be authorized to work in the US.Strong desire to learn to code – No prior professional experience required.
31,1 day ago,Senior Software Engineer,Growing Company,,"$130,000 - $160,000 a year",Expert understanding of web development concepts.Understanding of the full web development stack.Develop software applications using best practices in…
32,Just posted,Web Developer,Entegee,,From $56 an hour,"Experience with AJAX for implementing dynamic web pages via API calls.Experience developing web applications supporting multiple browsers Google Chrome,…"
33,Today,Web and Mobile Application Developer - ITS4,State of Minnesota,,$32.32 - $53.31 an hour,Experience building web applications that deliver information for outdoor recreation-based activities.Experience developing and testing web and mobile apps for…
34,Just posted,Full-stack developer (Remote),Psychology Today,,"$130,000 - $150,000 a year",3+ years experience in web development.Hours are Eastern Standard Time; the position is remote.BA/BS degree in CS or equivalent experience.
35,Today,Sr. Front End Engineer,Horizontal Talent,Estimated $98K – $124K a year,,"Developing web pages and applications using HTML5, CSS3 and JavaScript/ECMAScript, ReactJs, Web components.Apply standard techniques, procedures and criteria…"
36,1 day ago,Web & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
37,1 day ago,Software Developer (Work Remotely!),Taylor Corporation,Estimated $90.1K – $114K a year,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
38,Today,Construction Project Engineer/Estimator,Kevitt Companies,,"$45,000 - $65,000 a year","Microsoft Office, project and pertinent web application skills at an intermediate level.Project Engineers are involved in estimating, buyout, submittals, and…"
39,Today,Full Stack .Net Developer,Insight Global,Estimated $96K – $122K a year,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
40,Just posted,Developer (Specialty) II,RPO International,,Up to $68 an hour,"Experience with building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation…"
41,Today,Front End Developer,Robert Half,,$47.50 - $55.00 an hour,Architect dynamic data-driven web experiences using various web-based APIs.Guide web engineers to help them develop their technical proficiencies.
42,Today,IT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
43,Just posted,.NET Lead Developer,AR Val services,,$51 - $55 an hour,"SQL server development experience with Strong knowledge of database concepts like joins, stored.Experience with Authentication Technologies SSO, SAML, Oauth."
44,Today,Web Designer,DecksDirect,,,"Create, improve, and expand digital design assets for our e-commerce website from guidelines.Create content for email campaigns and paid ad campaigns."
45,Today,Front End Developer (Entry level),Revature,Estimated $68.7K – $86.9K a year,,College degree (Associates or Bachelors).Must be authorized to work in the US.Strong desire to learn to code – No prior professional experience required.
46,1 day ago,Senior Software Engineer,Growing Company,,"$130,000 - $160,000 a year",Expert understanding of web development concepts.Understanding of the full web development stack.Develop software applications using best practices in…
47,Just posted,Web Developer,Entegee,,From $56 an hour,"Experience with AJAX for implementing dynamic web pages via API calls.Experience developing web applications supporting multiple browsers Google Chrome,…"
48,Today,Web and Mobile Application Developer - ITS4,State of Minnesota,,$32.32 - $53.31 an hour,Experience building web applications that deliver information for outdoor recreation-based activities.Experience developing and testing web and mobile apps for…
49,Just posted,Full-stack developer (Remote),Psychology Today,,"$130,000 - $150,000 a year",3+ years experience in web development.Hours are Eastern Standard Time; the position is remote.BA/BS degree in CS or equivalent experience.
50,Today,Sr. Front End Engineer,Horizontal Talent,Estimated $98K – $124K a year,,"Developing web pages and applications using HTML5, CSS3 and JavaScript/ECMAScript, ReactJs, Web components.Apply standard techniques, procedures and criteria…"
51,1 day ago,Web & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
52,Today,Construction Project Engineer/Estimator,Kevitt Companies,,"$45,000 - $65,000 a year","Microsoft Office, project and pertinent web application skills at an intermediate level.Project Engineers are involved in estimating, buyout, submittals, and…"
53,1 day ago,Software Developer (Work Remotely!),Taylor Corporation,Estimated $90.1K – $114K a year,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
54,Today,Full Stack .Net Developer,Insight Global,Estimated $96K – $122K a year,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
55,Today,Front End Developer,Robert Half,,$47.50 - $55.00 an hour,Architect dynamic data-driven web experiences using various web-based APIs.Guide web engineers to help them develop their technical proficiencies.
56,Just posted,Developer (Specialty) II,RPO International,,Up to $68 an hour,"Experience with building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation…"
57,Today,IT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
58,Just posted,.NET Lead Developer,AR Val services,,$51 - $55 an hour,"SQL server development experience with Strong knowledge of database concepts like joins, stored.Experience with Authentication Technologies SSO, SAML, Oauth."
59,Today,Web Designer,DecksDirect,,,"Create, improve, and expand digital design assets for our e-commerce website from guidelines.Create content for email campaigns and paid ad campaigns."
