,title,company,estimatedSalary,summary
58,Entry-Level React Web Application Engineer,Quintrix Solutions Inc,,/week) of pre-employment online training* that will be conducted during evenings and weekends.Candidates selected for the training will be paid a *stipend of …
59,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
60,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,"Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and…"
61,Web Developer,Office of the Revisor of Statutes,,"Continuous Integration and Deployment for deploying web project.The Systems Analyst/Programmer will enhance and maintain existing web programs, as well as…"
62,Front End Web Developer (PHP / WordPress),NorthWing Digital,,Work with internal team to create website designs and identify new web development capabilities.You will use your coding expertise to make suggestions on how…
63,newPHP Developer,"Prodege, LLC.",,"Through deep consumer profiling, our partners can more effectively acquire new customers, boost engagement, increase revenue and drive brand loyalty and product…"
64,Web Designer/Front End Developer,Intercross Design,,Proficiency in creating frame animation gifs/motion graphics for web with Photoshop or Adobe Animate.This individual will design and develop digital projects –…
65,Ecommerce Web Developer,Charlotte Fabrics,,In this position you will work with our design team to build new ecommerce websites and update/optimize existing websites.Experience with UX/UI optimizations.
66,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,Manage existing websites and web applications.Bliss Direct Media is seeking a Front End Web Developer to help create and maintain web-to-print-applications.
67,Junior Web Designer [128],ReminderMedia,,Knowledge of best practices on the web and prior web design experience is required.Keep up to date with the latest web standards and trends.
68,Web Developer,Robert Half,,Rooted understanding of how a mobile user experience differs from the experience on a web or other application.Skills in HTML and CSS.
69,React Developer,The Mom Project,Estimated $92.4K – $117K a year,You have experience working at an advertising/design/consulting agency or web startup.Produce HTML/CSS/JavaScript code from design documentation for…
70,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,"Ability to troubleshoot and optimize web pages for security and responsiveness.This team member will work with the Program Manager, Senior Web Developer,…"
71,IT Software Developer I,Hennepin County,,"Work collaboratively with managers, customers, and other developers.The Lifecycle Management team is responsible for the lifecycle of applications developed by…"
72,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
73,Web Developer,Minneapolis Institute of Art,,"You are an entrepreneurial web developer who makes recommendations and thinks strategically.Develop and maintain museum web sites.In this role, you will….*."
74,Full Stack Developer,Hennepin County,,"Work collaboratively with managers, customers, and other developers.The Service Delivery Technology team for the Information Technology and Records Management…"
